Year,CensusID,Date,Site,DayNight,TideZone,IndexSpecies.SpeciesName,PredSize,EstimatedPredSize,PossibleChaemoPred,IndexSpecies_1.SpeciesName,PreySize,EstimatedPreySize,Drilling
2005,328,6/21/2005,TaurangaHead,Day,High,Haustrum scobina,15,FALSE,FALSE,Austrolittorina antipodum,3,FALSE,TRUE
2005,328,6/21/2005,TaurangaHead,Day,High,Haustrum scobina,10,FALSE,FALSE,Xenostrobus pulex,10,FALSE,TRUE
2005,328,6/21/2005,TaurangaHead,Day,High,Haustrum scobina,17,FALSE,FALSE,Chamaesipho columna,2,FALSE,FALSE
2005,328,6/21/2005,TaurangaHead,Day,High,Haustrum scobina,14,FALSE,FALSE,Chamaesipho columna,2,FALSE,FALSE
2005,328,6/21/2005,TaurangaHead,Day,High,Haustrum scobina,17,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2005,328,6/21/2005,TaurangaHead,Day,High,Haustrum scobina,17,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2005,328,6/21/2005,TaurangaHead,Day,High,Haustrum scobina,17,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2005,328,6/21/2005,TaurangaHead,Day,High,Haustrum scobina,20,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2005,328,6/21/2005,TaurangaHead,Day,High,Haustrum scobina,17,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2005,328,6/21/2005,TaurangaHead,Day,High,Haustrum scobina,16,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2005,328,6/21/2005,TaurangaHead,Day,High,Haustrum scobina,11,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2005,328,6/21/2005,TaurangaHead,Day,High,Haustrum scobina,17,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2005,328,6/21/2005,TaurangaHead,Day,High,Haustrum scobina,16,FALSE,FALSE,Chamaesipho columna,2,FALSE,FALSE
2005,328,6/21/2005,TaurangaHead,Day,High,Haustrum scobina,11,FALSE,FALSE,Chamaesipho columna,2,FALSE,FALSE
2005,328,6/21/2005,TaurangaHead,Day,High,Haustrum scobina,15,FALSE,FALSE,Chamaesipho columna,3,FALSE,FALSE
2005,328,6/21/2005,TaurangaHead,Day,High,Haustrum scobina,14,FALSE,FALSE,Chamaesipho columna,3,FALSE,FALSE
2005,328,6/21/2005,TaurangaHead,Day,High,Haustrum scobina,14,FALSE,FALSE,Chamaesipho columna,2,FALSE,FALSE
2005,328,6/21/2005,TaurangaHead,Day,High,Haustrum scobina,17,FALSE,FALSE,Chamaesipho columna,3,FALSE,FALSE
2005,328,6/21/2005,TaurangaHead,Day,High,Haustrum scobina,16,FALSE,FALSE,Chamaesipho columna,3,FALSE,FALSE
2005,328,6/21/2005,TaurangaHead,Day,High,Haustrum scobina,10,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2005,328,6/21/2005,TaurangaHead,Day,High,Haustrum scobina,14,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2005,328,6/21/2005,TaurangaHead,Day,High,Haustrum scobina,17,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2005,328,6/21/2005,TaurangaHead,Day,High,Haustrum scobina,17,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2005,328,6/21/2005,TaurangaHead,Day,High,Haustrum scobina,14,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2005,328,6/21/2005,TaurangaHead,Day,High,Haustrum scobina,11,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2005,328,6/21/2005,TaurangaHead,Day,High,Haustrum scobina,10,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2005,328,6/21/2005,TaurangaHead,Day,High,Haustrum scobina,15,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2005,328,6/21/2005,TaurangaHead,Day,High,Haustrum scobina,17,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2005,328,6/21/2005,TaurangaHead,Day,High,Haustrum scobina,16,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2005,328,6/21/2005,TaurangaHead,Day,High,Haustrum scobina,11,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2005,328,6/21/2005,TaurangaHead,Day,High,Haustrum scobina,11,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2005,328,6/21/2005,TaurangaHead,Day,High,Haustrum scobina,17,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2005,328,6/21/2005,TaurangaHead,Day,High,Haustrum scobina,14,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2005,328,6/21/2005,TaurangaHead,Day,High,Haustrum scobina,16,FALSE,FALSE,Chamaesipho columna,2,FALSE,FALSE
2005,328,6/21/2005,TaurangaHead,Day,High,Haustrum scobina,16,FALSE,FALSE,Xenostrobus pulex,8,FALSE,TRUE
2005,328,6/21/2005,TaurangaHead,Day,High,Haustrum scobina,17,FALSE,FALSE,Xenostrobus pulex,9,FALSE,TRUE
2005,328,6/21/2005,TaurangaHead,Day,High,Haustrum scobina,12,FALSE,FALSE,Chamaesipho columna,2,FALSE,FALSE
2005,328,6/21/2005,TaurangaHead,Day,High,Haustrum scobina,15,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2005,328,6/21/2005,TaurangaHead,Day,High,Haustrum scobina,15,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2005,328,6/21/2005,TaurangaHead,Day,High,Haustrum scobina,14,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2005,328,6/21/2005,TaurangaHead,Day,High,Haustrum scobina,15,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2005,328,6/21/2005,TaurangaHead,Day,High,Haustrum scobina,16,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2005,328,6/21/2005,TaurangaHead,Day,High,Haustrum scobina,16,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2005,328,6/21/2005,TaurangaHead,Day,High,Haustrum scobina,17,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2005,328,6/21/2005,TaurangaHead,Day,High,Haustrum scobina,16,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2005,328,6/21/2005,TaurangaHead,Day,High,Haustrum scobina,15,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
2005,328,6/21/2005,TaurangaHead,Day,High,Haustrum scobina,12,FALSE,FALSE,Not Feeding,0,FALSE,FALSE
