Handling Time Coefficients
 'ConLevel' = Constraint Percentage, 'Window'of 0.1 = 2hrs24min
Prey with no 'N' are matched to other species by taxonomy only
"Pred","Prey","N","ConLevel","Window","Type","logIntC","logPredSizeC","logPreySizeC","logTempC","IntC","PredSizeC","PreySizeC","TempC","R2","Sigma","Pvalue"
"Haustrum haustorium","Acanthochitona zelandica",1,0.1,0.1,"Mean",1.944481,0,0,0,6.99,0,0,0,NA,NA,NA
"Haustrum haustorium","Acanthochitona zelandica",1,0.2,0.1,"Mean",1.944481,0,0,0,6.99,0,0,0,NA,NA,NA
"Haustrum haustorium","Acanthochitona zelandica",1,0.3,0.1,"Mean",1.944481,0,0,0,6.99,0,0,0,NA,NA,NA
"Haustrum haustorium","Acanthochitona zelandica",1,0.5,0.1,"Mean",1.944481,0,0,0,6.99,0,0,0,NA,NA,NA
"Haustrum haustorium","Acanthochitona zelandica",2,0.8,0.1,"Mean",2.560016,0,0,0,15.465,0,0,0,NA,0.870498046856752,NA
"Haustrum haustorium","Austrolittorina cincta",55,0.1,0.1,"Unweighted",8.51498,-1.821691,1.431528,-1.224204,4988.944788,0.161752,4.185088,0.293991,0.560569836621532,0.368144037267945,3.43815653724988e-09
"Haustrum haustorium","Austrolittorina cincta",55,0.1,0.1,"Weighted",8.686659,-1.855402,1.451905,-1.269778,5923.359324,0.15639,4.271244,0.280894,0.564703683289886,1.22410218851976,2.71109157345961e-09
"Haustrum haustorium","Austrolittorina cincta",56,0.2,0.1,"Unweighted",8.260855,-1.798916,1.433347,-1.149486,3869.401896,0.165478,4.192707,0.3168,0.534970134296821,0.377752296598410,9.8090338074286e-09
"Haustrum haustorium","Austrolittorina cincta",56,0.2,0.1,"Weighted",8.533493,-1.8411,1.452471,-1.225146,5082.169212,0.158643,4.273661,0.293715,0.548979708888571,1.23917654131362,4.48196679769808e-09
"Haustrum haustorium","Austrolittorina cincta",60,0.3,0.1,"Unweighted",8.054698,-1.787301,1.409482,-1.066601,3148.551847,0.167411,4.093835,0.344176,0.533353534724620,0.372273965382784,2.41749309459749e-09
