Year,Expt/Location,Aerated/Flowthrough/Neither,Temperature,Container/Individual_#,Pred,PredSource,PredSize,Prey,PreySource,PreySize,Risellopsis_varia height,Drilled?,Prey_post-consumption_Weight,with_operculum_or_radula?,operc_weight,est._%_consumed,leftover_tissue_weight_(dried),Comment,Start_1st,Start_2nd,Exact_Start,End_1st,End_2nd,Exact_End,Min_(days),Max_(days),Midpoint_(days),Start_+_End_Windows,Inverse Window (for Weighting),Both_Start_and_End_within_+/-2hr24min__window
2005,H-Times-TopLab,Aerated,10,c20-1,Haustrum haustorium,Check datasheets,28.9,Siphonaria australis,EPFS & ?Lighthouse Reef,11.3,,FALSE,0.06,FALSE,,30,,"occurred between two observations, only center of food consumed, prey abandoned",6/2/05 4:30,6/2/05 7:30,,6/2/05 4:30,6/2/05 7:30,,0,0.13,0.06,6:00:00,3.85,FALSE
2005,H-Times-TopLab-aerated,Aerated,10,c9-1,Haustrum haustorium,Check datasheets,26.4,Diloma aethiops,EPFS Lab Rocks,8,,FALSE,0.221,TRUE,,100,0,,6/1/05 23:00,6/2/05 4:30,,6/2/05 18:00,6/2/05 19:00,,0.56,0.83,0.7,6:30:00,3.56,FALSE
2005,H-Times-TopLab-aerated,Aerated,10,c21-1,Haustrum haustorium,Check datasheets,27,Cellana denticulata,EPFS Lab Rocks,15.1,,FALSE,0.132,TRUE,,100,0,,6/2/05 21:05,6/3/05 6:25,,6/3/05 19:11,6/3/05 20:05,,0.53,0.96,0.75,10:14:00,2.29,FALSE
2005,H-Times-TopLab-aerated,Aerated,10,c8-1,Haustrum haustorium,Check datasheets,27,Haustrum scobina,Tauranga Head,12.3,,FALSE,0.295,TRUE,,100,0,,6/1/05 20:00,6/1/05 23:00,,6/3/05 20:05,6/3/05 21:08,,1.88,2.05,1.96,4:03:00,5.59,FALSE
2005,H-Times-TopLab,Aerated,10,c20-1,Haustrum haustorium,Check datasheets,28.9,Siphonaria australis,EPFS & ?Lighthouse Reef,9,,FALSE,0.003,FALSE,,100,0,,6/3/05 20:05,6/3/05 21:08,,6/3/05 21:08,6/4/05 6:20,,0,0.43,0.21,10:15:00,2.29,FALSE
2005,H-Times-TopLab-aerated,Aerated,10,c9-1,Haustrum haustorium,Check datasheets,26.4,Diloma aethiops,EPFS Lab Rocks,10.2,,FALSE,0.451,FALSE,,100,0,,6/3/05 21:08,6/4/05 6:20,,6/5/05 8:20,6/5/05 10:50,,1.08,1.57,1.33,11:42:00,2.01,FALSE
2005,H-Times-TopLab-aerated,Aerated,10,c14-1,Haustrum haustorium,Check datasheets,29,Diloma aethiops,EPFS Lab Rocks,10.4,,FALSE,0.648,TRUE,,100,0,,6/4/05 19:00,6/4/05 21:10,,6/5/05 19:00,6/5/05 20:00,,0.91,1.04,0.98,3:10:00,7.05,FALSE
2005,H-Times-TopLab,Aerated,10,c20-1,Haustrum haustorium,Check datasheets,28.9,Siphonaria australis,EPFS & ?Lighthouse Reef,11.9,,FALSE,0.084,FALSE,,90,,perimeter of foot not eaten,6/5/05 18:06,6/5/05 19:00,,6/6/05 8:10,6/6/05 9:10,,0.55,0.63,0.59,1:54:00,11.21,TRUE
2005,H-Times-TopLab,Aerated,10,c20-2,Haustrum haustorium,Check datasheets,27.6,Siphonaria australis,EPFS & ?Lighthouse Reef,11.7,,FALSE,0.078,FALSE,,90,0.01,,6/6/05 17:04,6/6/05 18:00,,6/6/05 22:00,6/7/05 8:00,,0.17,0.62,0.39,10:56:00,2.15,FALSE
2005,H-Times-TopLab-aerated,Aerated,10,c9-2,Haustrum haustorium,Check datasheets,43.7,Diloma aethiops,EPFS Lab Rocks,10.3,,FALSE,0.405,TRUE,,100,0,,6/6/05 20:00,6/6/05 21:00,,6/7/05 19:00,6/7/05 20:00,,0.92,1,0.96,2:00:00,10.71,TRUE
2005,H-Times-TopLab,Aerated,10,c7-1,Haustrum haustorium,Check datasheets,26,Sypharochiton pelliserpentis,EPFS Lab Rocks,12.2,,FALSE,0.107,FALSE,,100,0,,6/4/05 19:00,6/4/05 21:10,,6/7/05 22:00,6/8/05 8:00,,3.03,3.54,3.29,12:10:00,1.93,FALSE
2005,H-Times-TopLab-aerated,Aerated,10,c9-2,Haustrum haustorium,Check datasheets,43.7,Diloma aethiops,EPFS Lab Rocks,9.8,,FALSE,0.331,TRUE,,100,0,,6/8/05 14:05,6/8/05 15:00,,6/8/05 22:00,6/9/05 8:15,,0.29,0.76,0.52,11:10:00,2.1,FALSE
2005,H-Times-TopLab,Aerated,10,c9-2,Haustrum haustorium,Check datasheets,43.7,Diloma aethiops,EPFS Lab Rocks,9.6,,FALSE,0.44,TRUE,,100,0,,6/9/05 14:30,6/9/05 15:30,,6/9/05 23:00,6/10/05 8:10,,0.31,0.74,0.52,10:10:00,2.31,FALSE
2005,H-Times-BottomLab,Neither,10,c10-1,Haustrum haustorium,Check datasheets,17.8,Turbo smaragdus,EPFS Lab Rocks,4.9,,TRUE,0.06,TRUE,0.005,100,0,,6/10/05 13:55,6/10/05 14:15,,6/12/05 3:10,,YES,1.54,1.55,1.55,0:20:00,41.86,TRUE
2005,H-Times-BottomLab,Aerated,10,c10-1,Haustrum haustorium,Check datasheets,17.8,Turbo smaragdus,EPFS Lab Rocks,4.7,,TRUE,0.051,TRUE,0.004,100,0,,6/15/05 14:10,6/15/05 15:10,,6/16/05 19:40,,YES,1.19,1.23,1.21,1:00:00,19.35,TRUE
2005,H-Times-TopLab-aerated,Aerated,10,c21-1,Haustrum haustorium,Check datasheets,27,Cellana denticulata,EPFS Lab Rocks,15.3,,FALSE,0.157,TRUE,,100,0,,6/9/05 13:00,6/9/05 14:30,,6/10/05 22:00,,YES,1.31,1.38,1.34,1:30:00,13.79,TRUE
2005,H-Times-TopLab,Aerated,10,c2-1,Haustrum haustorium,Check datasheets,24,Turbo smaragdus,EPFS Lab Rocks,7.7,,TRUE,0.17,TRUE,0.019,100,0,,6/8/05 22:00,6/9/05 8:15,,6/11/05 11:00,6/11/05 12:10,,2.11,2.59,2.35,11:25:00,2.06,FALSE
2005,H-Times-BottomLab,Neither,10,c13-1 (org.61),Haustrum haustorium,Check datasheets,44.6,Diloma aethiops,EPFS Lab Rocks,17.7,,FALSE,2.865,TRUE,,60,,,6/10/05 23:15,6/11/05 8:00,,6/12/05 2:45,,YES,0.78,1.15,0.96,8:45:00,2.67,FALSE
