Site,Year,Season,SurveyType,TideZone,Transect,Quad,Species,Density
TaurangaHead,2006,Summer,Quads_All_species,Mid,1,5,Aulacomya atra maoriana,30.96
TaurangaHead,2005,Winter,Quads_Large_&_Rare_species_only,Mid,3,2,Aulacomya atra maoriana,15.48
TaurangaHead,2006,Summer,Quads_All_species,High,2,2,Aulacomya atra maoriana,3.096
TaurangaHead,2005,Winter,Quads_All_species,Mid,1,1,Aulacomya atra maoriana,15.48
TaurangaHead,2006,Summer,Quads_All_species,Mid,2,1,Aulacomya atra maoriana,15.48
TaurangaHead,2005,Winter,Quads_Large_&_Rare_species_only,Mid,3,1,Aulacomya atra maoriana,30.96
TaurangaHead,2006,Summer,Quads_All_species,High,2,1,Aulacomya atra maoriana,3.096
TaurangaHead,2005,Winter,Quads_All_species,Mid,1,3,Aulacomya atra maoriana,30.96
TaurangaHead,2006,Winter,Quads_Large_&_Rare_species_only,High,3,5,Aulacomya atra maoriana,15.48
TaurangaHead,2006,Winter,Quads_Large_&_Rare_species_only,Mid,3,5,Aulacomya atra maoriana,30.96
TaurangaHead,2006,Winter,Quads_All_species,Mid,1,3,Aulacomya atra maoriana,30.96
TaurangaHead,2006,Summer,Quads_All_species,Mid,1,1,Aulacomya atra maoriana,30.96
TaurangaHead,2005,Winter,Quads_All_species,Mid,2,2,Aulacomya atra maoriana,6.192
TaurangaHead,2006,Winter,Quads_Large_&_Rare_species_only,Mid,3,3,Aulacomya atra maoriana,15.48
TaurangaHead,2006,Winter,Quads_Large_&_Rare_species_only,High,3,4,Aulacomya atra maoriana,15.48
TaurangaHead,2005,Winter,Quads_All_species,High,2,2,Aulacomya atra maoriana,3.096
TaurangaHead,2005,Winter,Quads_All_species,Mid,2,3,Aulacomya atra maoriana,3.096
TaurangaHead,2006,Winter,Quads_All_species,High,1,3,Aulacomya atra maoriana,15.48
TaurangaHead,2006,Winter,Quads_All_species,Mid,1,2,Aulacomya atra maoriana,15.48
TaurangaHead,2006,Summer,Quads_All_species,Mid,1,2,Aulacomya atra maoriana,15.48
